hazard_id,blackspot_id,source_authority,source_document,source_url,publication_year,state,district,highway_number,road_name,location_name,latitude,longitude,chainage_km,hazard_type,severity,fatal_crashes,fatalities,crash_count,primary_factors,countermeasures,confidence,provenance
MH-BS-001,MH-PN-01,Pune City Police & MoRTH,Maharashtra State Road Safety Cell Annual Blackspot Compendium 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Pune,NH-48,Katraj-Dehu Road Bypass,Navale Bridge / Katraj-Dehu Road Bypass,18.4578,73.8211,KM 834.2,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,28,34,46,Continuous downward steep gradient (1:20) leading into congested urban junction causing freight brake fade and high-speed pileups.,"Runaway truck escape ramps, automated speed enforcement cameras, continuous rumble strips, and grade-separated vehicular overpass.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-002,MH-PN-08,Maharashtra Highway Traffic Police,Maharashtra Highway Police Blackspot Analysis Report 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Pune,NH-753F,Pune–Ahmednagar Highway,Shikrapur Junction / Wagholi Merge,18.6942,74.1258,KM 38.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,14,18,26,High-density industrial container traffic merging with local town traffic at unsignalized multi-directional intersection.,"High-mast LED lighting, transverse rumble strips 150m prior to junction, and automated speed detection radar.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-003,MH-PN-12,Maharashtra Highway Traffic Police,Maharashtra Highway Police Blackspot Analysis Report 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Pune,NH-753F,Pune–Ahmednagar Highway,Shirur Bypass / Inamgaon Phata,18.8285,74.3725,KM 64.2,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,9,12,16,Blind curve entry and unsignalized median gap used by slow agricultural vehicles crossing 4-lane high-speed corridor.,"Median closure, retro-reflective chevron signage, and speed calming bar markings.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-004,MH-PN-15,Pune Rural Police,Pune District Road Safety Committee Audit 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Pune,NH-65,Pune–Solapur Highway,Loni Kalbhor / Kadamwakvasti Phata,18.489,74.021,KM 16.5,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,13,17,23,Frequent unauthorized median cuts and heavy freight turning conflict near market area.,Permanent median barrier closure and grade-separated vehicular underpass (VUP).,HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-005,MH-PN-19,MSRDC & Maharashtra Highway Police,MSRDC Expressway Safety Audit 2024,https://msrdc.in,2024,Maharashtra,Pune,Mumbai–Pune Expressway / NH-48,Yashwantrao Chavan Expressway,Urse Toll Plaza Approach,18.7245,73.682,KM 82.5,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,8,11,15,Sudden queue formation at toll barrier approach with high approach speeds during night and dawn hours.,"Dynamic electronic variable message signs (VMS) 1 km before toll plaza, optical bar markings.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-006,MH-PN-22,Pune Rural Police & MoRTH,MoRTH National Highway Blackspot Registry 2023,https://morth.nic.in,2023,Maharashtra,Pune,NH-60,Pune–Nashik Highway,Khed Ghat S-Bend (Rajgurunagar),18.862,73.911,KM 44.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,11,15,20,Sharp reverse curve on descending ghat slope with inadequate sight distance and heavy multi-axle freight traffic.,"High-containment W-beam crash barriers, curve widening, and cat-eye solar delineators.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-007,MH-PN-27,Maharashtra Highway Traffic Police,Maharashtra Highway Police Compendium 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Pune,Old NH-48,Old Mumbai–Pune Highway,Somatane Phata / Talegaon Dabhade,18.718,73.662,KM 115.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,10,13,18,Industrial employee shift traffic cross-cutting high-speed 4-lane arterial with inadequate pedestrian refuge.,"Pedestrian foot overbridge (FOB) construction, signalized junction phasing.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-008,MH-RG-01,MSRDC & SaveLIFE Foundation,Zero Fatality Corridor Project Annual Audit 2024,https://msrdc.in,2024,Maharashtra,Raigad,Mumbai–Pune Expressway,Yashwantrao Chavan Expressway,Borghat Section / Khandala Ghat (KM 42–48),18.7612,73.3489,KM 44.5,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,22,31,48,"Steep down-gradient curves through mountain terrain, brake failures in heavy trucks, rear-end collisions during monsoons.","Dedicated truck speed lane enforcement, emergency escape ramps, automated speed monitoring gantries.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-009,MH-RG-04,MSRDC & Highway Police,MSRDC Tunnel Safety Protocol 2023,https://msrdc.in,2023,Maharashtra,Raigad,Mumbai–Pune Expressway,Yashwantrao Chavan Expressway,Bhatan Tunnel Approach (Panvel end),18.889,73.185,KM 18.5,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,7,10,14,Sudden luminance change at tunnel entrance leading to driver disorientation and tailgating collisions.,"Progressive tunnel transition lighting, illuminated speed warning boards.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-010,MH-RG-09,Maharashtra Highway Traffic Police,Raigad District Highway Blackspot Review 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Raigad,Mumbai–Pune Expressway,Yashwantrao Chavan Expressway,Madap Waterfall Curve (Khalapur),18.825,73.284,KM 32.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,9,12,17,Hydroplaning during heavy monsoon rain and unauthorized tourist vehicle stopping on shoulder.,"High-friction asphalt surface overlay, continuous steel median fence, 24x7 tow-away patrol.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
