rank,target_month,city,zone_id,time_window_label,predicted_high_probability,predicted_risk_tier,actual_risk_tier,contributing_factor_1,contributing_factor_2,contributing_factor_3,contributing_factor_4,rank_id
1,2025-03,Pune,363,00:00 - 03:59 (Late Night),0.8716,HIGH,LOW,"Persistent accident history in prior 180 days (value: 38.00, impact: +0.452)","Historically elevated severity index during this specific time shift (value: 258.00, impact: +0.410)","High cumulative historical crash density (value: 270.00, impact: +0.313)","Cluster spatial footprint size (value: 7.78, impact: +0.200)",1
2,2025-03,Pune,363,20:00 - 23:59 (Night),0.8579,HIGH,HIGH,"Persistent accident history in prior 180 days (value: 38.00, impact: +0.456)","Historically elevated severity index during this specific time shift (value: 248.00, impact: +0.406)","High cumulative historical crash density (value: 270.00, impact: +0.315)","Cluster spatial footprint size (value: 7.78, impact: +0.212)",2
3,2025-03,Chandigarh,97,04:00 - 07:59 (Early Morning),0.8573,HIGH,MEDIUM,"Historically elevated severity index during this specific time shift (value: 277.00, impact: +0.568)","Persistent accident history in prior 180 days (value: 38.00, impact: +0.447)","High cumulative historical crash density (value: 221.00, impact: +0.289)","Cluster spatial footprint size (value: 4.13, impact: +0.196)",3
4,2025-02,Chandigarh,97,20:00 - 23:59 (Night),0.8405,HIGH,LOW,"Persistent accident history in prior 180 days (value: 38.00, impact: +0.476)","Historically elevated severity index during this specific time shift (value: 233.00, impact: +0.406)","High cumulative historical crash density (value: 219.00, impact: +0.281)","Cluster spatial footprint size (value: 4.13, impact: +0.170)",4
5,2025-01,Pune,363,04:00 - 07:59 (Early Morning),0.8377,HIGH,MEDIUM,"Persistent accident history in prior 180 days (value: 38.00, impact: +0.457)","Historically elevated severity index during this specific time shift (value: 288.00, impact: +0.409)","High cumulative historical crash density (value: 256.00, impact: +0.320)","Cluster spatial footprint size (value: 7.78, impact: +0.223)",5
6,2025-02,Chandigarh,97,16:00 - 19:59 (Evening Rush),0.8358,HIGH,HIGH,"Persistent accident history in prior 180 days (value: 38.00, impact: +0.438)","Historically elevated severity index during this specific time shift (value: 217.00, impact: +0.405)","High cumulative historical crash density (value: 219.00, impact: +0.280)","Cluster spatial footprint size (value: 4.13, impact: +0.176)",6
7,2025-03,Chandigarh,97,20:00 - 23:59 (Night),0.8357,HIGH,HIGH,"Persistent accident history in prior 180 days (value: 38.00, impact: +0.483)","Historically elevated severity index during this specific time shift (value: 233.00, impact: +0.423)","High cumulative historical crash density (value: 221.00, impact: +0.242)","Cluster spatial footprint size (value: 4.13, impact: +0.177)",7
8,2025-02,Hyderabad,233,12:00 - 15:59 (Afternoon),0.83,HIGH,LOW,"Historically elevated severity index during this specific time shift (value: 223.00, impact: +0.449)","Persistent accident history in prior 180 days (value: 36.00, impact: +0.389)","High cumulative historical crash density (value: 203.00, impact: +0.272)","Cluster spatial footprint size (value: 7.36, impact: +0.184)",8
9,2025-03,Pune,363,04:00 - 07:59 (Early Morning),0.8296,HIGH,HIGH,"Persistent accident history in prior 180 days (value: 38.00, impact: +0.452)","Historically elevated severity index during this specific time shift (value: 300.00, impact: +0.425)","High cumulative historical crash density (value: 270.00, impact: +0.301)","Cluster spatial footprint size (value: 7.78, impact: +0.200)",9
10,2025-03,Chandigarh,97,16:00 - 19:59 (Evening Rush),0.8263,HIGH,MEDIUM,"Persistent accident history in prior 180 days (value: 38.00, impact: +0.444)","Historically elevated severity index during this specific time shift (value: 224.00, impact: +0.422)","High cumulative historical crash density (value: 221.00, impact: +0.241)","Cluster spatial footprint size (value: 4.13, impact: +0.184)",10
11,2025-03,Hyderabad,223,04:00 - 07:59 (Early Morning),0.8255,HIGH,HIGH,"High cumulative historical crash density (value: 224.00, impact: +0.477)","Persistent accident history in prior 180 days (value: 30.00, impact: +0.438)","Cluster spatial footprint size (value: 8.63, impact: +0.229)","Historically elevated severity index during this specific time shift (value: 200.00, impact: +0.141)",11
12,2025-04,Hyderabad,223,16:00 - 19:59 (Evening Rush),0.8225,HIGH,LOW,"High cumulative historical crash density (value: 230.00, impact: +0.469)","Persistent accident history in prior 180 days (value: 31.00, impact: +0.449)","Cluster spatial footprint size (value: 8.63, impact: +0.251)","Historically elevated severity index during this specific time shift (value: 200.00, impact: +0.149)",12
