zone_id,target_month,city,time_window,predicted_high_probability,rag_query_used,retrieved_rank,chunk_id,title,source_organization,topic,source_url,relevance_score,content_excerpt
363,2025-03,Pune,00:00 - 03:59 (Late Night),0.8716,night time road safety darkness driving India. Maharashtra urban arterial road safety,1,WHO-GLB-RTI-03,Night-time and Poor-Visibility Road Safety Risk,World Health Organization,"Night-time road safety, visibility, and lighting",https://www.who.int/news-room/fact-sheets/detail/road-traffic-injuries,0.8905,"Night-time driving is associated with significantly elevated crash risk due to reduced visibility, driver fatigue, and higher prevalence of impaired driving. Crash risk per vehicle-km driven is approximately three times higher at night than during the day.

Effective countermeasures for night-time road safety include: improved road lighting at high-risk locations (junctions, pedestrian crossings, "
363,2025-03,Pune,00:00 - 03:59 (Late Night),0.8716,night time road safety darkness driving India. Maharashtra urban arterial road safety,2,WHO-GLB-RTI-04,Road Safety During Adverse Weather Conditions,World Health Organization,"Weather-related road safety — rain, fog, reduced visibility",https://www.who.int/news-room/fact-sheets/detail/road-traffic-injuries,0.8141,"Adverse weather conditions — rain, fog, and reduced visibility — substantially increase crash risk. Wet road surfaces reduce tyre traction and extend braking distances. Fog and heavy rain reduce driver reaction time by limiting forward visibility.

Recommended safety measures during adverse weather: mandatory speed reduction advisories and variable speed limit signs; increased visibility through r"
363,2025-03,Pune,00:00 - 03:59 (Late Night),0.8716,night time road safety darkness driving India. Maharashtra urban arterial road safety,3,WHO-IND-001-02,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),"Risk factors for road crashes in India — speeding, alcohol, infrastructure",https://www.who.int/india/health-topics/road-safety,0.8016,"Many road crashes are a result of faulty road design and engineering. Non-adherence to legislation is a major reason for road crashes. While over-speeding remains the most common reason for road fatalities in India, other contributing factors include: driving under the influence of alcohol; driving on the wrong side of the road; jumping red lights; using mobile phones while driving; not wearing a "
363,2025-03,Pune,20:00 - 23:59 (Night),0.8579,peak hour traffic congestion road safety India. Maharashtra urban arterial road safety,1,MORTH-ATTR-003,Traffic Density and Congestion — MoRTH Guidance,"Ministry of Road Transport and Highways, Government of India",High traffic density and peak-hour road safety management in India,https://morth.nic.in/road-safety,0.8529,"High traffic density — particularly during peak hours — is associated with elevated crash frequency at intersections and merging zones in Indian cities. MoRTH and the Indian Roads Congress (IRC) recognise that unsignalised or poorly signalised intersections under high traffic volumes are a major crash contributor.

Recommended interventions for high-density urban traffic environments:
- Signal tim"
363,2025-03,Pune,20:00 - 23:59 (Night),0.8579,peak hour traffic congestion road safety India. Maharashtra urban arterial road safety,2,WHO-IND-001-02,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),"Risk factors for road crashes in India — speeding, alcohol, infrastructure",https://www.who.int/india/health-topics/road-safety,0.8194,"Many road crashes are a result of faulty road design and engineering. Non-adherence to legislation is a major reason for road crashes. While over-speeding remains the most common reason for road fatalities in India, other contributing factors include: driving under the influence of alcohol; driving on the wrong side of the road; jumping red lights; using mobile phones while driving; not wearing a "
363,2025-03,Pune,20:00 - 23:59 (Night),0.8579,peak hour traffic congestion road safety India. Maharashtra urban arterial road safety,3,IRC-SP55-001,IRC:SP-55 — Urban Road Safety Measures,Indian Roads Congress (IRC),Safety measures for urban road intersections and high-risk locations,https://irc.nic.in/,0.7957,"NOTE: IRC:SP-55 guidelines for urban road safety. Full text procurable through IRC. Content here summarises publicly known provisions.

IRC:SP-55 addresses safety at urban roads and intersections. Key guidance elements:

Intersection safety:
- Channelisation of turning movements to reduce conflict points
- Provision of traffic signals with dedicated pedestrian phases at high-volume junctions
- Vis"
97,2025-03,Chandigarh,04:00 - 07:59 (Early Morning),0.8573,night time road safety darkness driving India. Chandigarh planned city road safety,1,WHO-GLB-RTI-03,Night-time and Poor-Visibility Road Safety Risk,World Health Organization,"Night-time road safety, visibility, and lighting",https://www.who.int/news-room/fact-sheets/detail/road-traffic-injuries,0.88,"Night-time driving is associated with significantly elevated crash risk due to reduced visibility, driver fatigue, and higher prevalence of impaired driving. Crash risk per vehicle-km driven is approximately three times higher at night than during the day.

Effective countermeasures for night-time road safety include: improved road lighting at high-risk locations (junctions, pedestrian crossings, "
97,2025-03,Chandigarh,04:00 - 07:59 (Early Morning),0.8573,night time road safety darkness driving India. Chandigarh planned city road safety,2,WHO-GLB-RTI-04,Road Safety During Adverse Weather Conditions,World Health Organization,"Weather-related road safety — rain, fog, reduced visibility",https://www.who.int/news-room/fact-sheets/detail/road-traffic-injuries,0.8037,"Adverse weather conditions — rain, fog, and reduced visibility — substantially increase crash risk. Wet road surfaces reduce tyre traction and extend braking distances. Fog and heavy rain reduce driver reaction time by limiting forward visibility.

Recommended safety measures during adverse weather: mandatory speed reduction advisories and variable speed limit signs; increased visibility through r"
97,2025-03,Chandigarh,04:00 - 07:59 (Early Morning),0.8573,night time road safety darkness driving India. Chandigarh planned city road safety,3,IRC-SP55-001,IRC:SP-55 — Urban Road Safety Measures,Indian Roads Congress (IRC),Safety measures for urban road intersections and high-risk locations,https://irc.nic.in/,0.7937,"NOTE: IRC:SP-55 guidelines for urban road safety. Full text procurable through IRC. Content here summarises publicly known provisions.

IRC:SP-55 addresses safety at urban roads and intersections. Key guidance elements:

Intersection safety:
- Channelisation of turning movements to reduce conflict points
- Provision of traffic signals with dedicated pedestrian phases at high-volume junctions
- Vis"
97,2025-02,Chandigarh,20:00 - 23:59 (Night),0.8405,peak hour traffic congestion road safety India. Chandigarh planned city road safety,1,MORTH-ATTR-003,Traffic Density and Congestion — MoRTH Guidance,"Ministry of Road Transport and Highways, Government of India",High traffic density and peak-hour road safety management in India,https://morth.nic.in/road-safety,0.8482,"High traffic density — particularly during peak hours — is associated with elevated crash frequency at intersections and merging zones in Indian cities. MoRTH and the Indian Roads Congress (IRC) recognise that unsignalised or poorly signalised intersections under high traffic volumes are a major crash contributor.

Recommended interventions for high-density urban traffic environments:
- Signal tim"
