rank,city,zone_id,latitude,longitude,cluster_radius_km,target_month,target_start_date,time_window,is_peak_window,predicted_risk_tier,predicted_high_probability,actual_risk_tier,top_shap_factors,factor_contributions,retrieved_guidance,source_organization,source_title,source_url,retrieval_score,all_retrieved_chunks,retrieval_query
1,Pune,363,18.49661,73.88325,7.781,2025-03,2025-03-01,00:00 - 03:59 (Late Night),False,HIGH,0.8716,LOW,Persistent accident history in prior 180 days (+0.452) | Historically elevated severity index during this specific time shift (+0.410) | High cumulative historical crash density (+0.313) | Cluster spatial footprint size (+0.200),lag_accidents_180d=0.452; lag_zw_expanding_swri=0.410; lag_expanding_accidents=0.313; max_r_km=0.200,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8379,"WHO-IND-001-02, WHO-GLB-RTI-03, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. night time road safety darkness driving India. Maharashtra urban arterial road safety
2,Pune,363,18.49661,73.88325,7.781,2025-03,2025-03-01,20:00 - 23:59 (Night),False,HIGH,0.8579,HIGH,Persistent accident history in prior 180 days (+0.456) | Historically elevated severity index during this specific time shift (+0.406) | High cumulative historical crash density (+0.315) | Cluster spatial footprint size (+0.212),lag_accidents_180d=0.456; lag_zw_expanding_swri=0.406; lag_expanding_accidents=0.315; max_r_km=0.212,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8456,"WHO-IND-001-02, MORTH-ATTR-003, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. peak hour traffic congestion road safety India. Maharashtra urban arterial road safety
3,Chandigarh,97,30.61774,76.77995,4.127,2025-03,2025-03-01,04:00 - 07:59 (Early Morning),False,HIGH,0.8573,MEDIUM,Historically elevated severity index during this specific time shift (+0.568) | Persistent accident history in prior 180 days (+0.447) | High cumulative historical crash density (+0.289) | Cluster spatial footprint size (+0.196),lag_zw_expanding_swri=0.568; lag_accidents_180d=0.447; lag_expanding_accidents=0.289; max_r_km=0.196,Night-time and Poor-Visibility Road Safety Risk,World Health Organization,Night-time and Poor-Visibility Road Safety Risk,https://www.who.int/news-room/fact-sheets/detail/road-traffic-injuries,0.8254,"WHO-GLB-RTI-03, WHO-IND-001-02, IRAD-001",high severity crash history specific location time window road safety engineering treatment India night time peak hour. sustained high accident frequency 6 month road safety treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. night time road safety darkness driving India. Chandigarh planned city road safety
4,Chandigarh,97,30.61774,76.77995,4.127,2025-02,2025-02-01,20:00 - 23:59 (Night),False,HIGH,0.8405,LOW,Persistent accident history in prior 180 days (+0.476) | Historically elevated severity index during this specific time shift (+0.406) | High cumulative historical crash density (+0.281) | Cluster spatial footprint size (+0.170),lag_accidents_180d=0.476; lag_zw_expanding_swri=0.406; lag_expanding_accidents=0.281; max_r_km=0.170,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8394,"WHO-IND-001-02, MORTH-ATTR-003, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. peak hour traffic congestion road safety India. Chandigarh planned city road safety
5,Pune,363,18.49661,73.88325,7.781,2025-01,2025-01-01,04:00 - 07:59 (Early Morning),False,HIGH,0.8377,MEDIUM,Persistent accident history in prior 180 days (+0.457) | Historically elevated severity index during this specific time shift (+0.409) | High cumulative historical crash density (+0.320) | Cluster spatial footprint size (+0.223),lag_accidents_180d=0.457; lag_zw_expanding_swri=0.409; lag_expanding_accidents=0.320; max_r_km=0.223,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8379,"WHO-IND-001-02, WHO-GLB-RTI-03, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. night time road safety darkness driving India. Maharashtra urban arterial road safety
6,Chandigarh,97,30.61774,76.77995,4.127,2025-02,2025-02-01,16:00 - 19:59 (Evening Rush),True,HIGH,0.8358,HIGH,Persistent accident history in prior 180 days (+0.438) | Historically elevated severity index during this specific time shift (+0.405) | High cumulative historical crash density (+0.280) | Cluster spatial footprint size (+0.176),lag_accidents_180d=0.438; lag_zw_expanding_swri=0.405; lag_expanding_accidents=0.280; max_r_km=0.176,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8394,"WHO-IND-001-02, MORTH-ATTR-003, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. peak hour traffic congestion road safety India. Chandigarh planned city road safety
7,Chandigarh,97,30.61774,76.77995,4.127,2025-03,2025-03-01,20:00 - 23:59 (Night),False,HIGH,0.8357,HIGH,Persistent accident history in prior 180 days (+0.483) | Historically elevated severity index during this specific time shift (+0.423) | High cumulative historical crash density (+0.242) | Cluster spatial footprint size (+0.177),lag_accidents_180d=0.483; lag_zw_expanding_swri=0.423; lag_expanding_accidents=0.242; max_r_km=0.177,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8394,"WHO-IND-001-02, MORTH-ATTR-003, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. peak hour traffic congestion road safety India. Chandigarh planned city road safety
8,Hyderabad,233,17.27767,78.27841,7.363,2025-02,2025-02-01,12:00 - 15:59 (Afternoon),False,HIGH,0.83,LOW,Historically elevated severity index during this specific time shift (+0.449) | Persistent accident history in prior 180 days (+0.389) | High cumulative historical crash density (+0.272) | Cluster spatial footprint size (+0.184),lag_zw_expanding_swri=0.449; lag_accidents_180d=0.389; lag_expanding_accidents=0.272; max_r_km=0.184,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.83,"WHO-IND-001-02, IRAD-001, MORTH-ATTR-003",high severity crash history specific location time window road safety engineering treatment India night time peak hour. sustained high accident frequency 6 month road safety treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. Hyderabad urban corridor road safety
9,Pune,363,18.49661,73.88325,7.781,2025-03,2025-03-01,04:00 - 07:59 (Early Morning),False,HIGH,0.8296,HIGH,Persistent accident history in prior 180 days (+0.452) | Historically elevated severity index during this specific time shift (+0.425) | High cumulative historical crash density (+0.301) | Cluster spatial footprint size (+0.200),lag_accidents_180d=0.452; lag_zw_expanding_swri=0.425; lag_expanding_accidents=0.301; max_r_km=0.200,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8379,"WHO-IND-001-02, WHO-GLB-RTI-03, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. night time road safety darkness driving India. Maharashtra urban arterial road safety
10,Chandigarh,97,30.61774,76.77995,4.127,2025-03,2025-03-01,16:00 - 19:59 (Evening Rush),True,HIGH,0.8263,MEDIUM,Persistent accident history in prior 180 days (+0.444) | Historically elevated severity index during this specific time shift (+0.422) | High cumulative historical crash density (+0.241) | Cluster spatial footprint size (+0.184),lag_accidents_180d=0.444; lag_zw_expanding_swri=0.422; lag_expanding_accidents=0.241; max_r_km=0.184,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8394,"WHO-IND-001-02, MORTH-ATTR-003, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. peak hour traffic congestion road safety India. Chandigarh planned city road safety
11,Hyderabad,223,17.40203,78.29139,8.625,2025-03,2025-03-01,04:00 - 07:59 (Early Morning),False,HIGH,0.8255,HIGH,High cumulative historical crash density (+0.477) | Persistent accident history in prior 180 days (+0.438) | Cluster spatial footprint size (+0.229) | Historically elevated severity index during this specific time shift (+0.141),lag_expanding_accidents=0.477; lag_accidents_180d=0.438; max_r_km=0.229; lag_zw_expanding_swri=0.141,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8403,"WHO-IND-001-02, WHO-SAVE-LIVES-WEB-001, WHO-IND-RS-WEB-001",road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. sustained high accident frequency 6 month road safety treatment India. road safety large zone area treatment India. night time road safety darkness driving India. Hyderabad urban corridor road safety
